"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000187758",1035.16119669384,-9.69361524503163,0.630664629918365,-15.3704755034168,2.58266700324517e-53,2.32440030292065e-49
"ENSG00000163631",106698.868417185,-10.397154786296,0.681534795804905,-15.2555010401439,1.51328943681162e-52,6.8098024656523e-49
"ENSG00000158104",1462.35113029681,-9.31555909639992,0.636251932297289,-14.6413057839598,1.53099399713925e-48,4.59298199141774e-45
"ENSG00000255974",1201.56070969874,-10.1655767330867,0.706990833083515,-14.3786542305646,7.04511729012279e-47,1.58515139027763e-43
"ENSG00000118271",1256.93394012981,-8.36297266677576,0.60282175240103,-13.8730439528205,9.22761651119326e-44,1.66097097201479e-40
"ENSG00000021852",1130.6838201221,-10.3072725948653,0.754682299193729,-13.6577638111787,1.81471301179945e-42,2.72206951769917e-39
"ENSG00000198650",465.531948298227,-7.52044591147711,0.559201714774852,-13.4485387164898,3.14016573316059e-41,4.03735594263504e-38
"ENSG00000138109",1283.86836556211,-7.93261081003706,0.646182268942231,-12.2761195893263,1.21696604935046e-34,1.36908680551927e-31
"ENSG00000111713",142.581683839948,-9.98817399007302,0.829424581172955,-12.0422931955404,2.1295238209683e-33,2.1295238209683e-30
"ENSG00000122787",166.861659210957,-9.53292937075279,0.81030212863355,-11.7646604073824,5.93647330437394e-32,5.34282597393655e-29
"ENSG00000145708",185.3023301166,-6.71998285591587,0.587615886668466,-11.4360128927339,2.76293421778324e-30,2.26058254182265e-27
"ENSG00000113600",1839.7968527178,-10.2187738612929,0.910493431332452,-11.2233361709577,3.13226579877487e-29,2.34919934908115e-26
"ENSG00000124713",147.916576514365,-6.76177421372324,0.621222089138185,-10.8846326168211,1.36447690963444e-27,9.44637860516153e-25
"ENSG00000166035",195.052198035565,-6.11887299177267,0.566924065491411,-10.7931085734891,3.71023238850446e-27,2.38514939261001e-24
"ENSG00000172482",1223.99009592231,-7.68028671692776,0.715006610686809,-10.7415604305397,6.49374131836435e-27,3.89624479101861e-24
"ENSG00000143278",148.640875662632,-9.96983383100217,0.941830425850574,-10.5855932844794,3.47571832505326e-26,1.95509155784246e-23
"ENSG00000073754",189.424971691147,-10.1655038931768,0.969415530487567,-10.4862193491619,9.99479925969724e-26,5.29136431395736e-23
"ENSG00000145826",98.0264029281968,-9.8703957166782,0.943613353843167,-10.4602119888171,1.31560991183488e-25,6.57804955917439e-23
"ENSG00000187048",1074.08997146825,-10.4549121574555,1.01314038121175,-10.3193124579154,5.76343819823521e-25,2.73004967284826e-22
"ENSG00000140505",172.266083506407,-10.0726764166811,0.980096658129936,-10.2772275908993,8.92582237055093e-25,4.01662006674792e-22
"ENSG00000132703",1135.73299157692,-10.5400086554197,1.04256993600694,-10.1096418488606,5.00669674762278e-24,2.14572717755262e-21
"ENSG00000139344",90.2135787491677,-4.20134922076833,0.418095793294416,-10.0487718081626,9.30194809346957e-24,3.80534240187391e-21
"ENSG00000241635",126.284355153251,-6.7550977837658,0.677780973156014,-9.96649072680724,2.13644410181023e-23,8.35999865925742e-21
"ENSG00000244414",1074.94878832823,-8.74274066431629,0.899554999442968,-9.7189617863611,2.50320690388033e-22,9.38702588955124e-20
"ENSG00000123453",175.024822792962,-4.59545290198964,0.486780582685172,-9.44050166635709,3.70998849786931e-21,1.33559585923295e-18
"ENSG00000171759",1268.06087583764,-6.88756890710028,0.731009033732799,-9.42200245040726,4.42565909138113e-21,1.53195891624731e-18
